,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5
0,11.814,14.008,15.673,17.069,18.293,19.397,20.409,21.35,22.231,23.064,23.855,24.609,25.332,26.027,26.697,27.344,27.971,28.58,29.171,29.746,30.307,30.855,31.39,31.913,32.425,32.926,33.418,33.901,34.375,34.84,35.298,35.748,36.192,36.628,37.058,37.481,37.899,38.311,38.717
5,11.818,14.012,15.677,17.073,18.297,19.401,20.413,21.354,22.235,23.068,23.859,24.613,25.336,26.031,26.701,27.349,27.976,28.584,29.175,29.751,30.312,30.859,31.394,31.917,32.429,32.931,33.422,33.905,34.379,34.845,35.302,35.753,36.196,36.632,37.062,37.486,37.903,38.315,38.722
10,11.831,14.025,15.69,17.085,18.31,19.413,20.426,21.366,22.248,23.08,23.871,24.626,25.349,26.044,26.714,27.361,27.988,28.596,29.188,29.763,30.324,30.871,31.406,31.929,32.441,32.943,33.435,33.918,34.391,34.857,35.315,35.765,36.208,36.645,37.074,37.498,37.916,38.328,38.734
15,11.851,14.046,15.711,17.106,18.331,19.434,20.447,21.387,22.269,23.101,23.892,24.647,25.37,26.065,26.735,27.382,28.009,28.617,29.209,29.784,30.345,30.892,31.427,31.95,32.462,32.964,33.456,33.939,34.412,34.878,35.336,35.786,36.229,36.666,37.095,37.519,37.937,38.349,38.755
20,11.88,14.075,15.74,17.136,18.361,19.464,20.477,21.417,22.299,23.131,23.922,24.677,25.4,26.095,26.765,27.412,28.039,28.647,29.238,29.814,30.375,30.922,31.457,31.98,32.492,32.994,33.486,33.968,34.442,34.908,35.366,35.816,36.259,36.695,37.125,37.549,37.967,38.378,38.785
25,11.916,14.113,15.778,17.174,18.399,19.503,20.516,21.456,22.338,23.17,23.961,24.716,25.439,26.134,26.804,27.451,28.078,28.686,29.278,29.853,30.414,30.962,31.496,32.02,32.532,33.033,33.525,34.008,34.482,34.947,35.405,35.855,36.298,36.735,37.165,37.588,38.006,38.418,38.824
30,11.96,14.159,15.826,17.222,18.447,19.552,20.564,21.505,22.387,23.219,24.01,24.765,25.488,26.183,26.853,27.5,28.127,28.736,29.327,29.902,30.463,31.011,31.546,32.069,32.581,33.082,33.574,34.057,34.531,34.997,35.454,35.905,36.348,36.784,37.214,37.638,38.055,38.467,38.874
35,12.012,14.214,15.882,17.28,18.505,19.61,20.623,21.564,22.446,23.279,24.07,24.825,25.548,26.243,26.913,27.56,28.187,28.796,29.387,29.963,30.524,31.071,31.606,32.129,32.641,33.143,33.635,34.117,34.591,35.057,35.515,35.965,36.408,36.844,37.274,37.698,38.116,38.527,38.934
40,12.071,14.277,15.948,17.347,18.573,19.679,20.692,21.634,22.516,23.349,24.14,24.895,25.619,26.314,26.984,27.632,28.259,28.867,29.459,30.034,30.595,31.143,31.678,32.201,32.713,33.215,33.707,34.19,34.663,35.129,35.587,36.037,36.48,36.917,37.347,37.77,38.188,38.6,39.006
45,12.139,14.35,16.023,17.424,18.652,19.758,20.773,21.715,22.598,23.431,24.223,24.978,25.702,26.398,27.068,27.716,28.343,28.952,29.543,30.119,30.68,31.228,31.763,32.286,32.798,33.3,33.792,34.275,34.749,35.215,35.673,36.123,36.566,37.003,37.433,37.856,38.274,38.686,39.092
50,12.215,14.432,16.109,17.512,18.742,19.85,20.865,21.808,22.692,23.526,24.319,25.075,25.799,26.495,27.165,27.814,28.441,29.05,29.642,30.218,30.779,31.327,31.862,32.386,32.898,33.4,33.892,34.375,34.849,35.315,35.773,36.224,36.667,37.104,37.534,37.957,38.375,38.787,39.194
55,12.299,14.523,16.205,17.611,18.843,19.953,20.97,21.914,22.799,23.635,24.428,25.185,25.909,26.606,27.277,27.926,28.554,29.164,29.756,30.332,30.894,31.442,31.978,32.502,33.014,33.516,34.009,34.492,34.966,35.432,35.891,36.341,36.785,37.222,37.652,38.076,38.494,38.906,39.312
60,12.392,14.625,16.312,17.722,18.957,20.069,21.088,22.034,22.921,23.758,24.552,25.31,26.036,26.733,27.405,28.055,28.684,29.294,29.887,30.464,31.026,31.575,32.111,32.635,33.148,33.651,34.143,34.627,35.102,35.568,36.027,36.478,36.921,37.358,37.789,38.213,38.631,39.044,39.451
65,12.494,14.737,16.43,17.845,19.084,20.199,21.221,22.169,23.057,23.896,24.692,25.451,26.178,26.877,27.55,28.201,28.831,29.442,30.036,30.613,31.176,31.726,32.263,32.788,33.301,33.804,34.298,34.782,35.257,35.724,36.183,36.635,37.079,37.516,37.947,38.372,38.79,39.203,39.61
70,12.606,14.86,16.56,17.981,19.224,20.343,21.368,22.319,23.21,24.051,24.849,25.61,26.339,27.039,27.714,28.366,28.997,29.61,30.205,30.784,31.348,31.898,32.436,32.962,33.476,33.98,34.474,34.959,35.435,35.903,36.363,36.815,37.26,37.698,38.129,38.555,38.974,39.387,39.795
75,12.727,14.995,16.704,18.131,19.38,20.503,21.532,22.487,23.381,24.224,25.025,25.788,26.519,27.222,27.899,28.552,29.185,29.799,30.395,30.976,31.541,32.093,32.632,33.159,33.675,34.18,34.676,35.161,35.639,36.107,36.568,37.021,37.467,37.906,38.338,38.764,39.184,39.598,40.007
80,12.86,15.142,16.861,18.296,19.551,20.68,21.713,22.672,23.57,24.417,25.22,25.987,26.721,27.426,28.105,28.761,29.396,30.012,30.61,31.193,31.76,32.314,32.854,33.383,33.9,34.407,34.904,35.391,35.869,36.339,36.801,37.255,37.702,38.143,38.576,39.003,39.424,39.839,40.249
85,13.004,15.303,17.033,18.477,19.739,20.874,21.914,22.877,23.779,24.631,25.438,26.208,26.945,27.653,28.336,28.994,29.632,30.251,30.852,31.436,32.006,32.561,33.104,33.635,34.154,34.663,35.161,35.65,36.131,36.602,37.066,37.522,37.97,38.412,38.847,39.275,39.698,40.114,40.525
90,13.162,15.479,17.222,18.676,19.947,21.089,22.135,23.104,24.012,24.868,25.68,26.454,27.195,27.907,28.593,29.255,29.896,30.518,31.122,31.709,32.282,32.84,33.385,33.918,34.44,34.951,35.452,35.943,36.426,36.899,37.365,37.823,38.273,38.717,39.154,39.584,40.009,40.427,40.84
95,13.333,15.671,17.429,18.894,20.174,21.325,22.378,23.355,24.269,25.13,25.948,26.727,27.473,28.19,28.88,29.546,30.191,30.816,31.424,32.015,32.591,33.152,33.701,34.237,34.762,35.276,35.779,36.273,36.758,37.235,37.703,38.163,38.616,39.062,39.501,39.934,40.361,40.781,41.196
100,13.519,15.88,17.655,19.133,20.425,21.586,22.648,23.632,24.553,25.422,26.246,27.031,27.782,28.504,29.199,29.871,30.52,31.15,31.762,32.357,32.937,33.503,34.055,34.595,35.123,35.64,36.147,36.645,37.133,37.613,38.084,38.547,39.003,39.452,39.894,40.33,40.759,41.182,41.6
105,13.723,16.11,17.904,19.397,20.702,21.873,22.945,23.939,24.868,25.745,26.576,27.368,28.127,28.855,29.556,30.233,30.888,31.523,32.14,32.74,33.325,33.895,34.452,34.996,35.529,36.05,36.562,37.063,37.555,38.039,38.514,38.981,39.44,39.893,40.338,40.777,41.21,41.636,42.057
110,13.946,16.363,18.177,19.688,21.007,22.191,23.275,24.279,25.219,26.104,26.944,27.744,28.51,29.246,29.954,30.638,31.299,31.941,32.564,33.17,33.76,34.336,34.898,35.448,35.985,36.512,37.028,37.534,38.031,38.519,38.998,39.47,39.934,40.39,40.84,41.283,41.719,42.15,42.575
115,14.19,16.64,18.479,20.009,21.345,22.544,23.641,24.658,25.608,26.505,27.354,28.164,28.939,29.683,30.4,31.091,31.761,32.409,33.04,33.652,34.249,34.832,35.4,35.956,36.5,37.032,37.554,38.066,38.568,39.061,39.546,40.023,40.492,40.953,41.408,41.856,42.297,42.732,43.161
120,14.461,16.948,18.814,20.366,21.721,22.938,24.05,25.081,26.044,26.953,27.814,28.635,29.421,30.175,30.901,31.601,32.28,32.937,33.575,34.196,34.801,35.391,35.967,36.53,37.081,37.62,38.149,38.667,39.176,39.676,40.167,40.649,41.124,41.592,42.052,42.506,42.953,43.394,43.828
125,14.761,17.29,19.187,20.765,22.143,23.379,24.509,25.555,26.535,27.457,28.332,29.166,29.963,30.729,31.466,32.178,32.867,33.534,34.182,34.813,35.427,36.026,36.61,37.182,37.741,38.288,38.825,39.351,39.867,40.375,40.873,41.363,41.845,42.32,42.787,43.247,43.701,44.148,44.59
130,15.096,17.674,19.607,21.215,22.617,23.876,25.027,26.092,27.089,28.029,28.919,29.768,30.58,31.359,32.109,32.834,33.534,34.214,34.873,35.515,36.14,36.749,37.344,37.926,38.495,39.052,39.598,40.133,40.659,41.175,41.682,42.18,42.671,43.154,43.629,44.097,44.559,45.014,45.463
135,15.474,18.108,20.083,21.724,23.157,24.442,25.617,26.705,27.722,28.681,29.591,30.457,31.285,32.081,32.847,33.586,34.301,34.994,35.668,36.322,36.96,37.582,38.189,38.783,39.363,39.932,40.489,41.035,41.571,42.098,42.615,43.124,43.625,44.117,44.602,45.08,45.551,46.015,46.473
140,15.905,18.605,20.628,22.31,23.777,25.094,26.297,27.411,28.454,29.436,30.367,31.254,32.102,32.917,33.701,34.458,35.191,35.901,36.59,37.26,37.913,38.55,39.172,39.78,40.374,40.956,41.527,42.086,42.635,43.174,43.704,44.225,44.737,45.242,45.738,46.228,46.71,47.185,47.654
145,16.404,19.181,21.262,22.992,24.501,25.855,27.093,28.239,29.31,30.32,31.278,32.19,33.062,33.9,34.707,35.485,36.238,36.968,37.677,38.366,39.038,39.693,40.332,40.957,41.568,42.167,42.753,43.328,43.893,44.447,44.992,45.528,46.055,46.573,47.084,47.587,48.083,48.572,49.054
150,16.992,19.863,22.015,23.803,25.363,26.762,28.042,29.226,30.334,31.378,32.368,33.311,34.213,35.079,35.912,36.717,37.496,38.25,38.983,39.696,40.39,41.067,41.728,42.374,43.006,43.625,44.231,44.826,45.41,45.983,46.546,47.1,47.645,48.181,48.709,49.229,49.742,50.248,50.746
155,17.704,20.692,22.931,24.793,26.416,27.873,29.205,30.438,31.591,32.678,33.708,34.69,35.629,36.531,37.399,38.237,39.047,39.833,40.596,41.338,42.061,42.766,43.454,44.127,44.785,45.43,46.061,46.681,47.288,47.885,48.472,49.049,49.616,50.175,50.725,51.267,51.801,52.327,52.847
160,18.599,21.738,24.092,26.048,27.755,29.286,30.686,31.983,33.196,34.339,35.422,36.455,37.443,38.391,39.304,40.185,41.038,41.865,42.668,43.448,44.209,44.951,45.675,46.383,47.075,47.753,48.418,49.07,49.709,50.338,50.955,51.562,52.159,52.747,53.326,53.896,54.458,55.013,55.559
165,19.79,23.139,25.65,27.739,29.561,31.197,32.692,34.077,35.373,36.594,37.752,38.855,39.911,40.924,41.9,42.843,43.754,44.638,45.497,46.332,47.145,47.938,48.713,49.47,50.211,50.936,51.647,52.344,53.028,53.701,54.361,55.011,55.65,56.279,56.898,57.509,58.11,58.703,59.288
170,21.542,25.216,27.972,30.266,32.269,34.066,35.71,37.234,38.659,40.003,41.277,42.492,43.654,44.77,45.845,46.883,47.887,48.861,49.807,50.727,51.624,52.498,53.352,54.187,55.004,55.804,56.588,57.357,58.112,58.853,59.582,60.299,61.004,61.698,62.382,63.055,63.719,64.374,65.02
175,24.774,29.1,32.353,35.065,37.435,39.565,41.516,43.325,45.019,46.617,48.134,49.581,50.966,52.297,53.58,54.819,56.019,57.183,58.314,59.415,60.487,61.534,62.557,63.557,64.537,65.496,66.436,67.359,68.266,69.156,70.032,70.893,71.74,72.575,73.397,74.207,75.006,75.794,76.572
